================ Training Loss (Wed Aug 30 12:06:44 2023) ================
================ Training Loss (Wed Aug 30 12:07:29 2023) ================
(epoch: 10, iters: 300, time: 0.202, data: 0.002) D_A: 0.129 G_A: 0.446 cycle_A: 1.809 idt_A: 0.590 D_B: 0.127 G_B: 0.481 cycle_B: 1.764 idt_B: 0.902 
(epoch: 11, iters: 100, time: 0.202, data: 0.396) D_A: 0.128 G_A: 0.677 cycle_A: 1.260 idt_A: 0.797 D_B: 0.082 G_B: 0.528 cycle_B: 1.893 idt_B: 0.746 
(epoch: 11, iters: 200, time: 0.424, data: 0.002) D_A: 0.291 G_A: 0.500 cycle_A: 2.448 idt_A: 0.502 D_B: 0.103 G_B: 0.348 cycle_B: 1.181 idt_B: 0.982 
(epoch: 11, iters: 300, time: 0.200, data: 0.002) D_A: 0.275 G_A: 0.427 cycle_A: 0.788 idt_A: 0.892 D_B: 0.218 G_B: 0.971 cycle_B: 2.016 idt_B: 0.398 
(epoch: 12, iters: 100, time: 0.202, data: 0.320) D_A: 0.220 G_A: 0.774 cycle_A: 2.340 idt_A: 0.588 D_B: 0.158 G_B: 0.389 cycle_B: 1.132 idt_B: 1.555 
(epoch: 12, iters: 200, time: 0.202, data: 0.002) D_A: 0.480 G_A: 0.297 cycle_A: 1.506 idt_A: 1.298 D_B: 0.432 G_B: 1.721 cycle_B: 1.752 idt_B: 0.816 
(epoch: 12, iters: 300, time: 0.427, data: 0.001) D_A: 0.346 G_A: 0.081 cycle_A: 1.830 idt_A: 0.855 D_B: 0.246 G_B: 0.988 cycle_B: 1.737 idt_B: 0.820 
(epoch: 13, iters: 100, time: 0.202, data: 0.402) D_A: 0.202 G_A: 0.189 cycle_A: 1.088 idt_A: 0.418 D_B: 0.259 G_B: 1.118 cycle_B: 0.963 idt_B: 0.912 
(epoch: 13, iters: 200, time: 0.202, data: 0.002) D_A: 0.180 G_A: 0.427 cycle_A: 0.962 idt_A: 1.308 D_B: 0.191 G_B: 0.338 cycle_B: 2.627 idt_B: 0.695 
(epoch: 13, iters: 300, time: 0.202, data: 0.002) D_A: 0.129 G_A: 0.487 cycle_A: 2.628 idt_A: 0.838 D_B: 0.205 G_B: 0.596 cycle_B: 2.220 idt_B: 0.882 
(epoch: 14, iters: 100, time: 0.468, data: 0.362) D_A: 0.088 G_A: 0.747 cycle_A: 1.282 idt_A: 1.186 D_B: 0.147 G_B: 0.519 cycle_B: 2.696 idt_B: 0.485 
(epoch: 14, iters: 200, time: 0.202, data: 0.002) D_A: 0.110 G_A: 0.749 cycle_A: 2.369 idt_A: 0.527 D_B: 0.115 G_B: 0.531 cycle_B: 1.135 idt_B: 1.048 
(epoch: 14, iters: 300, time: 0.203, data: 0.002) D_A: 0.160 G_A: 0.360 cycle_A: 2.568 idt_A: 0.766 D_B: 0.126 G_B: 0.823 cycle_B: 1.819 idt_B: 1.489 
(epoch: 15, iters: 100, time: 0.201, data: 0.326) D_A: 0.205 G_A: 0.426 cycle_A: 1.074 idt_A: 0.826 D_B: 0.215 G_B: 1.072 cycle_B: 1.908 idt_B: 0.231 
(epoch: 15, iters: 200, time: 0.442, data: 0.002) D_A: 0.154 G_A: 0.599 cycle_A: 3.230 idt_A: 0.491 D_B: 0.153 G_B: 0.631 cycle_B: 1.174 idt_B: 1.682 
(epoch: 15, iters: 300, time: 0.203, data: 0.002) D_A: 0.139 G_A: 0.453 cycle_A: 3.645 idt_A: 1.126 D_B: 0.157 G_B: 0.422 cycle_B: 2.178 idt_B: 1.549 
(epoch: 16, iters: 100, time: 0.201, data: 0.340) D_A: 0.204 G_A: 0.217 cycle_A: 1.428 idt_A: 1.180 D_B: 0.127 G_B: 0.148 cycle_B: 1.621 idt_B: 0.567 
(epoch: 16, iters: 200, time: 0.200, data: 0.002) D_A: 0.128 G_A: 0.376 cycle_A: 2.142 idt_A: 1.811 D_B: 0.144 G_B: 0.595 cycle_B: 3.501 idt_B: 0.555 
(epoch: 16, iters: 300, time: 0.463, data: 0.002) D_A: 0.066 G_A: 0.508 cycle_A: 2.164 idt_A: 0.661 D_B: 0.084 G_B: 0.797 cycle_B: 1.310 idt_B: 1.140 
(epoch: 17, iters: 100, time: 0.202, data: 0.414) D_A: 0.215 G_A: 0.113 cycle_A: 1.225 idt_A: 1.468 D_B: 0.129 G_B: 0.964 cycle_B: 3.070 idt_B: 0.265 
(epoch: 17, iters: 200, time: 0.201, data: 0.002) D_A: 0.110 G_A: 0.361 cycle_A: 0.571 idt_A: 0.495 D_B: 0.053 G_B: 0.642 cycle_B: 0.812 idt_B: 0.317 
(epoch: 17, iters: 300, time: 0.202, data: 0.002) D_A: 0.214 G_A: 0.768 cycle_A: 2.017 idt_A: 0.571 D_B: 0.232 G_B: 1.274 cycle_B: 1.382 idt_B: 1.116 
(epoch: 18, iters: 100, time: 0.467, data: 0.390) D_A: 0.120 G_A: 0.607 cycle_A: 1.725 idt_A: 0.769 D_B: 0.128 G_B: 0.544 cycle_B: 1.510 idt_B: 0.857 
(epoch: 18, iters: 200, time: 0.201, data: 0.002) D_A: 0.494 G_A: 0.340 cycle_A: 0.711 idt_A: 0.982 D_B: 0.051 G_B: 0.078 cycle_B: 1.865 idt_B: 0.459 
(epoch: 18, iters: 300, time: 0.203, data: 0.002) D_A: 0.041 G_A: 0.264 cycle_A: 2.112 idt_A: 0.780 D_B: 0.080 G_B: 0.663 cycle_B: 1.535 idt_B: 0.649 
(epoch: 19, iters: 100, time: 0.202, data: 0.322) D_A: 0.145 G_A: 0.375 cycle_A: 0.651 idt_A: 0.756 D_B: 0.102 G_B: 0.832 cycle_B: 1.808 idt_B: 0.207 
